In_Function,Block_Type,Block_No,Speedup (if parallelized),Coverage,Time,Function_Name
,FuncDef,,Nil,100,7.2592486570,main
main,FuncCall,4,3.9189832583202824,99.3109033956,7.2092254210,kernel_gemm
kernel_gemm,For,0,3.9189717669014468,99.3108036332,7.2092181790,
main,FuncCall,0,1.0048950438992383,0.649493222064,0.0471483280,init_array
init_array,For,0,1.001917277289256,0.255147782851,0.0185218120,
init_array,For,4,1.0014962909891,0.199207392986,0.0144609600,
init_array,For,8,1.0014598397322843,0.194361560909,0.0141091890,
