In_Function,Block_Type,Block_No,Speedup (if parallelized),Coverage,Time,Function_Name
,FuncDef,,Nil,100,83.9180577510,main
main,FuncCall,0,3.3104876003163883,93.0572926315,78.0918725720,init_array
init_array,For,8,3.304362211925594,92.9826318115,78.0292186620,
main,FuncCall,4,1.0549064624370372,6.9398206561,5.8237627060,kernel_cholesky
kernel_cholesky,For,0,1.0549063924096278,6.93981226577,5.8237556650,
init_array,For,0,1.0002682179005347,0.0357527971977,0.0300030530,
init_array,For,4,1.0001604069732952,0.02138416627,0.0179451770,
init_array,For,12,1.000111654774586,0.0148856412252,0.0124917410,
