In_Function,Block_Type,Block_No,Speedup (if parallelized),Coverage,Time,Function_Name
,FuncDef,,Nil,100,105.5440020230,main
main,FuncCall,0,2.2508773241818067,74.0971715484,78.2051202380,init_array
init_array,For,8,2.248448993588507,74.033196344,78.1375982470,
main,FuncCall,4,1.2410921634474001,25.9010754719,27.3370316200,kernel_lu
kernel_lu,For,0,1.241092067466281,25.9010671635,27.3370228510,
init_array,For,0,1.0002599353027664,0.0346490338618,0.0365699770,
init_array,For,4,1.0001237962183007,0.0165041192925,0.0174191080,
init_array,For,12,1.0000846928112275,0.0112914185284,0.0119174150,
