In_Function,Block_Type,Block_No,Speedup (if parallelized),Coverage,Time,Function_Name
,FuncDef,,Nil,100,0.0946111490,main
main,FuncCall,0,1.7419822619806857,56.7921789006,0.0537317330,init_array
init_array,For,4,1.7391756929389424,56.6686617451,0.0536148720,
main,FuncCall,4,1.437520049883057,40.5810038307,0.0383941540,kernel_bicg
kernel_bicg,For,4,1.43715209039709,40.557256101,0.0383716860,
init_array,For,0,1.0003928114523506,0.0523542949468,0.0000495330,
kernel_bicg,For,0,1.000093383021582,0.0124499069343,0.0000117790,
