In_Function,Block_Type,Block_No,Speedup (if parallelized),Coverage,Time,Function_Name
,FuncDef,,Nil,100,17.8604851980,main
main,FuncCall,4,3.9697568191919963,99.7460534555,17.8151291130,kernel_syr2k
kernel_syr2k,For,0,3.96974709872825,99.7459712124,17.8151144240,
main,FuncCall,0,1.0017920600766361,0.238513912292,0.0425997420,init_array
init_array,For,0,1.0012013252451382,0.159984505926,0.0285740090,
init_array,For,4,1.000584919134441,0.0779436272065,0.0139211100,
